FIELD_NAME,DESCRIPTION,SHORT_DESC,GROUP,TYPE
QOF_ACHV_CHOL004,"Percentage of patients on the QOF Coronary Heart Disease (CHD), Peripheral Arterial Disease (PAD), or Stroke/Transient Ischaemic Attack (TIA) Register, who have a recording of LDL (Low-density Lipoprotein) cholesterol in the preceding 12 months that is 2.0 mmol/L or lower or where LDL cholesterol is not recorded a recording of non-HDL (High-density Lipoprotein) cholesterol in the preceding 12 months that is 2.6 mmol/L or lower.",CHOL004 Achievement,QOF Achievement,PCT
QOF_ACHV_COPD010,"The percentage of patients with COPD, on the register, who have had a review in the preceding 12 months which included a record of the number of exacerbations and an assessment of breathlessness using the Medical Research Council dyspnoea scale",COPD010 Achievement,QOF Achievement,PCT
QOF_ACHV_COPD014,"The percentage of patients with COPD and Medical Research Council (MRC) dyspnoea scale >=3 at any time in the preceding 12 months, with a subsequent record of referral to a pulmonary rehabilitation programme (excluding those who have previously attended a pulmonary rehabilitation programme)",COPD014 Achievement,QOF Achievement,PCT
QOF_ACHV_CS005,The percentage of women eligible for screening and aged 25-49 years at the end of the reporting period whose notes record that an adequate cervical screening test has been performed in the preceding 3 years and 6 months.,CS005 Achievement,QOF Achievement,PCT
QOF_ACHV_CS006,The percentage of women eligible for screening and aged 50-64 years at the end of the reporting period whose notes record that an adequate cervical screening test has been performed in the preceding 5 years and 6 months.,CS006 Achievement,QOF Achievement,PCT
QOF_ACHV_DEM004,The percentage of patients diagnosed with dementia whose care plan has been reviewed in the preceding 12 months,DEM004 Achievement,QOF Achievement,PCT
QOF_ACHV_DEP004,"The percentage of patients aged 18 or over with a new diagnosis of depression in the preceding 1 April to 31 March, who have been reviewed not earlier than 10 days after and not later than 56 days after the date of diagnosis",DEP004 Achievement,QOF Achievement,PCT
QOF_ACHV_DM006,"The percentage of patients with diabetes, on the register, with a diagnosis of nephropathy (clinical proteinuria) or micro-albuminuria who are currently treated with an ACE-I (or ARBs)",DM006 Achievement,QOF Achievement,PCT
QOF_ACHV_DM012,"The percentage of patients with diabetes, on the register, with a record of a foot examination and risk classification: 1) low risk (normal sensation, palpable pulses), 2) increased risk (neuropathy or absent pulses), 3) high risk (neuropathy or absent pulses plus deformity or skin changes in previous ulcer) or 4) ulcerated foot within the preceding 12 months",DM012 Achievement,QOF Achievement,PCT
QOF_ACHV_DM014,"The percentage of patients newly diagnosed with diabetes, on the register, in the preceding 1 April to 31 March who have a record of being referred to a structured education programme within 9 months after entry on to the diabetes register",DM014 Achievement,QOF Achievement,PCT
